unit_id,exposure,sunlight,view,floor_band,disturbance,confidence
listing-1691569b,SE,mixed,courtyard,low,high,layout_verified
listing-29e186e0,SE,good,skyline_partial,low,medium,layout_plus_resident
listing-39cc8865,NE,mixed,courtyard,mid,medium,layout_verified
listing-40c7fa4b,SE,good,skyline_partial,mid_high,medium,layout_plus_resident
listing-417fb69e,NW,low,none,mid_high,low,layout_plus_resident
listing-5c0d2bff,NW,low,none,mid_high,low,layout_plus_resident
listing-6fd84580,SE,good,skyline_partial,mid_high,medium,layout_plus_resident
listing-70bd2617,NE,mixed,courtyard,mid_high,medium,layout_verified
listing-7184852c,NW,low,none,mid,low,layout_plus_resident
listing-b47a8c6c,SW,mixed,open,upper,low,layout_verified
listing-c37f13a8,SW,mixed,open,mid,low,layout_verified
listing-d198d231,SW,mixed,courtyard,mid_high,medium,layout_verified
listing-d6703130,NW,low,none,mid,low,layout_plus_resident
listing-d90f1ba4,SW,mixed,open,mid,low,layout_verified
listing-e571e2c4,NW,low,none,upper,low,layout_plus_resident
listing-f120aac6,NE,mixed,courtyard,upper,medium,layout_verified
listing-f41c6ac8,NE,mixed,courtyard,mid_high,medium,layout_verified
listing-f892db3a,NW,low,none,upper,low,layout_plus_resident
